group_,gen_sp,common,YearEndCDa,status,county_ori,WaterBody,HUC,,,
Reptiles-Crocodilians,Alligator mississippiensis,American Alligator,2008,failed,Cook,Bubbly Creek,71200030107,13,33,http://myfwc.com/wildlifehabitats/managed/alligator/facts/
Reptiles-Crocodilians,Alligator mississippiensis,American Alligator,2010,failed,Cook,Chicago River,71200030106,13,33,
Reptiles-Crocodilians,Alligator mississippiensis,American Alligator,2005,failed,Lake,East Loon Lake,71200061004,13,33,
Fishes,Alosa sapidissima,American Shad,1873,failed,Cook,Calumet River,40400010603,10,25,http://www.asmfc.org/uploads/file/Chp2_5_Shad_RiverHerring.pdf
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Flatfoot Lake,71200030407,4,46,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=275&AT=bighead+carp
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Flatfoot Lake,71200030407,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Flatfoot Lake,71200030407,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2010,unknown,Cook,Lake Calumet,40400010603,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2003,unknown,Cook,Mckinley Park Lake,71200030107,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,extirpated,Cook,Columbus Park Lagoon,71200040705,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2010,extirpated,Cook,Garfield Park Lagoon,71200030107,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2012,unknown,Cook,Garfield Park Lagoon,71200030107,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2008,eradicated,Cook,Lincoln Park South Lagoon,40400020502,4,46,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2011,unknown,Cook,Schiller Park Pond,71200040506,4,46,
Plants,Egeria densa,Brazilian Waterweed,2008,NA,Lake,NA,71200040302,,,
Plants,Najas minor,Brittle Waternymph,2012,Collected,Cook,Powderhorn Lake,40400010603,8,?,http://issg.org/database/species/ecology.asp?si=1560&fr=1&sts=&lang=EN
Plants,Najas minor,Brittle Waternymph,2011,Collected,Will,Whalon Lake,71200040805,8,?,
Plants,Najas minor,Brittle Waternymph,2010,collected,Cook,NA,71200040705,8,?,
Plants,Najas minor,Brittle Waternymph,2010,collected,DuPage,NA,71200040803,8,?,
Plants,Najas minor,Brittle Waternymph,2012,Collected,Lake,Gages Lake,71200040202,8,?,
Plants,Najas minor,Brittle Waternymph,2012,Collected,Lake,Gages Lake,71200040202,8,?,
Plants,Najas minor,Brittle Waternymph,2010,Collected,Lake,Round Lake,71200061008,8,?,
Plants,Najas minor,Brittle Waternymph,2012,Collected,Lake,Round Lake,71200061008,8,?,
Plants,Najas minor,Brittle Waternymph,2012,Collected,Lake,Third Lake,71200040202,8,?,
Plants,Najas minor,Brittle Waternymph,2011,Collected,Lake,Sterling Lake,71200040301,8,?,
Plants,Najas minor,Brittle Waternymph,1998,NA,DuPage,Mallard Lake,71200040802,8,?,
Plants,Najas minor,Brittle Waternymph,2001,NA,Cook,Powderhorn Lake,40400010603,8,?,
Fishes,Salmo trutta,Brown Trout,1999,NA,Cook,Calumet River,71200030407,18,24,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=238&AT=brown+trout
Fishes,Salmo trutta,Brown Trout,1991,NA,Cook,Chicago River,71200030107,18,24,
Fishes,Salmo trutta,Brown Trout,1991,NA,Cook,North Shore Channel,71200030104,18,24,
Fishes,Salmo trutta,Brown Trout,1999,NA,Lake,trib. Lake Michigan,NA,18,24,
Fishes,Salmo trutta,Brown Trout,1999,NA,Lake,trib. Lake Michigan,40400020501,18,24,
Fishes,Salmo trutta,Brown Trout,1997,NA,Lake,Waukegan River,40400020501,18,24,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,71200040702,10,30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3601151/
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,71200040702,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1994,NA,Cook,Des Plaines River,71200040706,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1978,NA,Cook,Saganashkee Slough,71200040702,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1978,NA,Cook,Saganashkee Slough,71200040702,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1997,NA,Cook,Stony Creek,71200030401,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1938,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1938,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1939,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1939,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1942,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1942,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1943,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1946,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1946,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1950,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1950,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1960,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1960,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1979,NA,Cook,Jackson Park Lagoon,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1995,NA,Cook,Horsetail Lake,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2000,collected,Cook,Hyde Park Pond,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2008,NA,DuPage,West Branch DuPage River,71200040805,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2000,NA,Cook,Hyde Park Pond,40400020503,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Cook,Des Plaines River,71200040706,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,East Branch DuPage River,71200040803,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,East Branch DuPage River,71200040803,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,East Branch DuPage River,71200040803,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Cook,Des Plaines River,71200040506,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,DuPage,NA,71200040402,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2006,NA,Cook,Des Plaines River,71200040506,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2009,NA,DuPage,Salt Creek,71200040402,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2002,NA,Cook,Kollar Park Pond,71200061205,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2011,NA,Cook,Busse Lake,71200040401,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2011,NA,Cook,Poplar Creek,71200061205,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2011,NA,Cook,Poplar Creek,71200061205,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2008,NA,Cook,Poplar Creek,71200061205,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Cook,Poplar Creek,71200061205,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1998,NA,Cook,Beck Lake,71200040505,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2007,NA,Cook,Bulrush Pond,71200061104,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2011,NA,Lake,Middle Fork North Branch Chicago River,71200030102,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2001,NA,Lake,Squaw Creek,71200061008,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2001,collected,Lake,Squaw Creek,71200061008,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1992,NA,Lake,Dead River,40400020501,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,2005,NA,Lake,Cedar Lake,71200061004,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Lake,Cedar Lake,71200061004,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Lake,Turner Lake,71200061006,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1988,NA,Lake,Fox River,71200061006,10,30,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,NA,Lake,Fox River,71200061006,10,30,
Fishes,Oncorhynchus tshawytscha,Chinook Salmon,2001,NA,Cook,Lake Calumet,40400010603,4,25,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=244&AT=Chinook+Salmon
Fishes,Oncorhynchus tshawytscha,Chinook Salmon,1997,NA,Cook,Calumet River,40400010603,4,25,
Fishes,Oncorhynchus tshawytscha,Chinook Salmon,1999,NA,Cook,South Lagoon,NA,4,25,
Fishes,Oncorhynchus tshawytscha,Chinook Salmon,1990,NA,Cook,Chicago River,71200030107,4,25,
Fishes,Oncorhynchus tshawytscha,Chinook Salmon,1992,NA,Cook,North Shore Channel,71200030104,4,25,
Fishes,Oncorhynchus tshawytscha,Chinook Salmon,1994,NA,Cook,North Shore Channel,71200030104,4,25,
Fishes,Oncorhynchus tshawytscha,Chinook Salmon,1999,NA,Lake,trib. Lake Michigan,40400020501,4,25,
Fishes,Oncorhynchus tshawytscha,Chinook Salmon,2000,NA,Lake,Waukegan River,40400020501,4,25,
Fishes,Oncorhynchus tshawytscha,Chinook Salmon,1997,NA,Lake,Waukegan River,40400020501,4,25,
Fishes,Oncorhynchus kisutch,Coho Salmon,1990,NA,Cook,Chicago River,71200030107,3,25,http://www.fishbase.org/Summary/SpeciesSummary.php?ID=245&AT=Coho+Salmon
Fishes,Oncorhynchus kisutch,Coho Salmon,1990,NA,Cook,Chicago River,71200030107,3,25,
Fishes,Oncorhynchus kisutch,Coho Salmon,1992,NA,Cook,North Shore Channel,71200030104,3,25,
Fishes,Oncorhynchus kisutch,Coho Salmon,2002,NA,Lake,S. Br. Waukegan River,40400020501,3,25,
Fishes,Oncorhynchus kisutch,Coho Salmon,2000,NA,Lake,Waukegan River,40400020501,3,25,
Fishes,Oncorhynchus kisutch,Coho Salmon,1997,NA,Lake,Waukegan River,40400020501,3,25,
Fishes,Oncorhynchus kisutch,Coho Salmon,1997,NA,Lake,Waukegan River,40400020501,3,25,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,NA,Cook,NA,71200040601,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,NA,Cook,NA,71200030202,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,NA,Cook,NA,71200040601,,,
Plants,Eichhornia crassipes,Common Water Hyacinth,2003,failed,Lake,Flint Lake,71200061104,,,
Plants,Eichhornia crassipes,Common Water Hyacinth,2000,failed,Lake,Grandwood Park Lake,71200040202,,,
Plants,Eichhornia crassipes,Common Water Hyacinth,2012,NA,Lake,Spring Lake,71200061009,,,
Plants,Rorippa sylvestris,Creeping Yellowcress,2008,collected,Cook,NA,71200040705,-2,?,https://archive.lib.msu.edu/DMC/extension_publications/e3006/E3006-2001.PDF
Plants,Rorippa sylvestris,Creeping Yellowcress,2008,collected,DuPage,NA,71200040803,-2,?,
Plants,Rorippa sylvestris,Creeping Yellowcress,1888,NA,Cook,NA,40400020502,-2,?,
Plants,Rorippa sylvestris,Creeping Yellowcress,1989,NA,Cook,NA,40400020502,-2,?,
Plants,Rorippa sylvestris,Creeping Yellowcress,2007,NA,Lake,NA,71200040503,-2,?,
Fishes,Carassius carassius,Crucian Carp,1910,failed,Cook,NA,71200030107,2,22,http://www.fishbase.org/summary/Carassius-carassius.html
Mollusks,Radix auricularia,European Ear Snail,1901,unknown,Cook,NA,40400020502,10,36,https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=1012
Mollusks,Radix auricularia,European Ear Snail,1901,unknown,Cook,NA,40400020502,10,36,
Mollusks,Radix auricularia,European Ear Snail,1901,unknown,Cook,NA,40400020502,10,36,
Plants,Butomus umbellatus,Flowering Rush,1957,NA,Cook,NA,71200040404,,,
Coelenterates,Craspedacusta sowerbyi,freshwater jellyfish,1999,collected,Cook,NA,71200030107,,,
Plants,Mentha x gracilis,Gingermint,1941,NA,Cook,NA,71200040404,,,
Plants,Mentha x gracilis,Gingermint,2008,collected,Lake,NA,71200040302,,,
Plants,Mentha x gracilis,Gingermint,1993,NA,DuPage,Herrick Lake,71200040805,,,
Plants,Mentha x gracilis,Gingermint,2002,NA,Cook,Crabtree Lake,71200061205,,,
Fishes,Ctenopharyngodon idella,Grass Carp,2011,unknown,Cook,Flatfoot Lake,71200030407,0,40,https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=514
Fishes,Ctenopharyngodon idella,Grass Carp,2011,unknown,Cook,Flatfoot Lake,71200030407,0,40,Spawning is negatively impacted at 18 http://entnemdept.ufl.edu/creatures/BENEFICIAL/MISC/Ctenopharyngodon_idella.htm
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,71200030403,0,40,
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,71200030403,0,40,
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,40400010603,0,40,
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,40400010603,0,40,
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,40400010603,0,40,
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,40400010603,0,40,
Fishes,Ctenopharyngodon idella,Grass Carp,2011,failed,Cook,Columbus Park Lagoon,71200040705,0,40,
Fishes,Ctenopharyngodon idella,Grass Carp,2011,NA,Cook,Lake Calumet,40400010603,0,40,
Fishes,Ctenopharyngodon idella,Grass Carp,2012,NA,Cook,Lake Calumet,40400010603,0,40,
Plants,Polygonum hydropiper,Marshpepper Knotweed,2005,NA,Cook,NA,71200040503,,,
Plants,Polygonum hydropiper,Marshpepper Knotweed,2006,NA,Cook,NA,71200030101,,,
Plants,Polygonum hydropiper,Marshpepper Knotweed,1989,NA,Lake,NA,71200040202,,,
Plants,Polygonum hydropiper,Marshpepper Knotweed,2005,NA,Lake,Old Mill Creek,71200040202,,,
Plants,Typha angustifolia,Narrowleaf Cattail,2007,NA,DuPage,NA,71200040803,-23,24,http://www.nrcresearchpress.com/doi/pdf/10.4141/cjps86-051
Plants,Typha angustifolia,Narrowleaf Cattail,2000,NA,DuPage,Etter Marsh,71200040804,-23,24,
Plants,Typha angustifolia,Narrowleaf Cattail,1997,NA,DuPage,Hidden Lake,71200040803,-23,24,
Plants,Typha angustifolia,Narrowleaf Cattail,1950,NA,Cook,NA,71200040404,-23,24,
Plants,Typha angustifolia,Narrowleaf Cattail,1993,NA,DuPage,NA,71200040803,-23,24,
Plants,Typha angustifolia,Narrowleaf Cattail,1997,NA,DuPage,NA,71200040803,-23,24,
Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,Cook,NA,71200040705,-23,24,
Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,DuPage,NA,71200040803,-23,24,
Plants,Typha angustifolia,Narrowleaf Cattail,1956,NA,Cook,NA,71200030105,-23,24,
Plants,Typha angustifolia,Narrowleaf Cattail,2006,NA,Cook,NA,71200040504,-23,24,
Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,Lake,NA,71200040302,-23,24,
Plants,Typha angustifolia,Narrowleaf Cattail,1978,NA,Lake,Turner Lake,71200061006,-23,24,
Plants,Typha angustifolia,Narrowleaf Cattail,1932,NA,Lake,Lake Marie,71200061009,-23,24,
